Common Name,Scientific Name,Probable Locality/State(s),Last Confirmed Sighting,Population Status,Migratory Status,Conservation Action
Pink-headed Duck,"Rhodonessa caryophyllacea (Latham, 1790)","Gangetic Plains (Bihar, UP)","June 1935, Darbanga Bihar",Presumed Extinct,Non-migratory,
Baer's Pochard,"Aythya baeri (Radde, 1863)","NE India – Assam, Arunachal Pradesh",Sporadic recent records,<10 during migration,Migratory,
Himalayan Quail,"Ophrysia superciliosa (Gray, 1846)",Western Himalaya (Uttarakhand),"1876, Nainital",Presumed Extinct,Non-migratory,
Great Indian Bustard,"Ardeotis nigriceps (Vigors, 1831)","Rajasthan, MP, AP, Gujarat, Maharashtra",Recent sightings in Rajasthan,~100 individuals,Non-migratory,Recovery programme underway
Bengal Florican,"Houbaropsis bengalensis (Gmelin, 1789)","Terai Grasslands – UP, Assam, Arunachal Pradesh",Recent sightings,~280 birds,Non-migratory,Recovery programme underway
Lesser Florican,Sypheotides indicus,"Gujarat, Madhya Pradesh",Recent sightings,Unknown,Non-migratory,Recovery programme underway
Masked Finfoot,"Heliopais personatus (Miller, 1782)",Indian Sunderbans,No recent record,Unknown,Non-migratory,
Siberian Crane,"Leucogeranus leucogeranus (Pallas, 1773)","Keoladeo NP, Rajasthan",No sighting in last 15 years,Locally Extinct,Migratory,
Sociable Lapwing,"Vanellus gregarius (Pallas, 1771)",Gujarat and Rajasthan,Sporadic winter sightings,Unknown,Migratory,
Spoon-billed Sandpiper,"Calidris pygmaea (Linnaeus, 1758)",East Coast – wetlands & coastal lagoons,"1 bird, West Bengal, 2019",Very few,Migratory,
Jerdon's Courser,"Rhinoptilus bitorquatus (Blyth, 1848)","Shri Lankamaleshwara WS, AP",Late 2002,Presumed Extinct,Non-migratory,Recovery programme underway
White-bellied Heron,"Ardea insignis Hume, 1878",Fast-flowing rivers NE India,Recent sightings,8–10 individuals,Non-migratory,DST research project underway
Red-headed Vulture,"Sarcogyps calvus (Scopoli, 1786)",Western and northern India,Recent sightings,<100 individuals,Non-migratory,Recovery programme underway
White-rumped Vulture,"Gyps bengalensis (Gmelin, 1788)","Rajasthan, Gujarat, Haryana",Recent sightings,<100 wild individuals,Non-migratory,Conservation breeding underway
Indian Vulture,"Gyps indicus (Scopoli, 1786)","Rajasthan, Gujarat, Haryana",Recent sightings,<100 wild individuals,Non-migratory,Conservation breeding underway
Slender-billed Vulture,"Gyps tenuirostris Gray, 1844",Gangetic plains and NE India,Recent sightings,<100 in India & Myanmar,Non-migratory,Recovery programme underway
Bugun Liocichla,"Liocichla bugunorum Athreya, 2006","Eagle Nest WS, Arunachal Pradesh",Recent sightings,<100 individuals,Non-migratory,
Yellow-breasted Bunting,"Emberiza aureola Pallas, 1773",North and NE India,Sporadic recent sightings,Very few,Migratory,
